00000000,11110001
00000001,01100000
00000010,11100100
00000011,11101011
00000100,10110000
00000101,00000101
00000110,10000001
00000111,01001110
00001000,10011111
00001001,00100110
00001010,01011110
00001011,01010101
00001100,11011110
00001101,10100011
00001110,00011111
00001111,00010100
00010000,01000010
00010001,10010111
00010010,10011000
00010011,00111010
00010100,11000111
00010101,00010010
00010110,11011101
00010111,01111011
00011000,01111101
00011001,11001101
00011010,00110011
00011011,11100110
00011100,00111000
00011101,10101000
00011110,10110110
00011111,01100011
00100000,00011101
00100001,11001000
00100010,01001100
00100011,00000011
00100100,01011000
00100101,10101101
00100110,00101001
00100111,10000110
00101000,11110011
00101001,11101110
00101010,11110110
00101011,10111001
00101100,01110110
00101101,01001011
00101110,01110011
00101111,11111100
00110000,10001010
00110001,11111011
00110010,01110000
00110011,10010010
00110100,00101111
00110101,10111010
00110110,00110001
00110111,00010111
00111000,10010001
00111001,01100101
00111010,01011111
00111011,00101110
00111100,11010000
00111101,00000000
00111110,00011110
00111111,10001011
01000000,00000001
01000001,10110100
01000010,00110000
01000011,00111011
01000100,01100100
01000101,11110101
01000110,01110001
01000111,01111010
01001000,01001111
01001001,01110010
01001010,01101010
01001011,10100101
01001100,11101010
01001101,11110111
01001110,11001111
01001111,11000000
01010000,00010110
01010001,11000011
01010010,00001100
01010011,00001110
01010100,10010011
01010101,01000110
01010110,01101001
01010111,10101011
01011000,11001001
01011001,01111001
01011010,01100111
01011011,10110010
01011100,10101100
01011101,00111100
01011110,11100010
01011111,00110111
01100000,10101001
01100001,01011100
01100010,11011000
01100011,01010111
01100100,11001100
01100101,00011001
01100110,10011101
01100111,11010010
01101000,10100111
01101001,11011010
01101010,10100010
01101011,00001101
01101100,00100010
01101101,10011011
01101110,00100111
01101111,01101000
01110000,10111110
01110001,00101011
01110010,10100100
01110011,11000110
01110100,11111111
01110101,10001110
01110110,11000001
01110111,01000011
01111000,01100001
01111001,10010101
01111010,10001111
01111011,00011010
01111100,00000100
01111101,11010100
01111110,00101010
01111111,01011011
10000000,11010011
10000001,00000110
10000010,10000010
10000011,00101101
10000100,01010110
10000101,10000011
10000110,00000111
10000111,01001000
10001000,00111101
10001001,01000000
10001010,11111000
10001011,01110111
10001100,01111000
10001101,00100101
10001110,10111101
10001111,11110010
10010000,00100100
10010001,10110101
10010010,00111110
10010011,10011100
10010100,01000001
10010101,11110100
10010110,01111111
10010111,11011001
10011000,11011111
10011001,00001011
10011010,00010001
10011011,10000000
10011100,10011110
10011101,10101110
10011110,01010000
10011111,11100101
10100000,10111111
10100001,11001110
10100010,01001010
10100011,10000101
10100100,11111110
10100101,01101011
10100110,11101111
10100111,11100000
10101000,11010001
10101001,11101000
10101010,00010000
10101011,00011011
10101100,10010000
10101101,10001101
10101110,01010001
10101111,01011010
10110000,10001100
10110001,01011001
10110010,10010110
10110011,01110100
10110100,11101001
10110101,00011100
10110110,00010011
10110111,00110101
10111000,10110011
10111001,11100011
10111010,11111101
10111011,00101000
10111100,00110110
10111101,01100110
10111110,10111000
10111111,01001101
11000000,10000111
11000001,01010010
11000010,11010110
11000011,10011001
11000100,00000010
11000101,11010111
11000110,01010011
11000111,11011100
11001000,10001001
11001001,10010100
11001010,01101100
11001011,00100011
11001100,11101100
11001101,11010101
11001110,00001001
11001111,10100110
11010000,11110000
11010001,01000101
11010010,00001010
11010011,00001000
11010100,10110001
11010101,00100000
11010110,10101111
11010111,01101101
11011000,00001111
11011001,11011011
11011010,11100001
11011011,01010100
11011100,10101010
11011101,10011010
11011110,10000100
11011111,00010101
11100000,01101111
11100001,11111010
11100010,01111110
11100011,01110101
11100100,11001010
11100101,10111011
11100110,00111111
11100111,00110100
11101000,00100001
11101001,01111100
11101010,11000100
11101011,11001011
11101100,01000100
11101101,00111001
11101110,10100001
11101111,01101110
11110000,00011000
11110001,11101101
11110010,11000010
11110011,10100000
11110100,01011101
11110101,10001000
11110110,01000111
11110111,11000101
11111000,11100111
11111001,10110111
11111010,01001001
11111011,10111100
11111100,01100010
11111101,00110010
11111110,00101100
11111111,11111001
00000000,11110001
00000001,01100000
00000010,11100100
00000011,11101011
00000100,10110000
00000101,00000101
00000110,10000001
00000111,01001110
00001000,10011111
00001001,00100110
00001010,01011110
00001011,01010101
00001100,11011110
00001101,10100011
00001110,00011111
00001111,00010100
00010000,01000010
00010001,10010111
00010010,10011000
00010011,00111010
00010100,11000111
00010101,00010010
00010110,11011101
00010111,01111011
00011000,01111101
00011001,11001101
00011010,00110011
00011011,11100110
00011100,00111000
00011101,10101000
00011110,10110110
00011111,01100011
00100000,00011101
00100001,11001000
00100010,01001100
00100011,00000011
00100100,01011000
00100101,10101101
00100110,00101001
00100111,10000110
00101000,11110011
00101001,11101110
00101010,11110110
00101011,10111001
00101100,01110110
00101101,01001011
00101110,01110011
00101111,11111100
00110000,10001010
00110001,11111011
00110010,01110000
00110011,10010010
00110100,00101111
00110101,10111010
00110110,00110001
00110111,00010111
00111000,10010001
00111001,01100101
00111010,01011111
00111011,00101110
00111100,11010000
00111101,00000000
00111110,00011110
00111111,10001011
01000000,00000001
01000001,10110100
01000010,00110000
01000011,00111011
01000100,01100100
01000101,11110101
01000110,01110001
01000111,01111010
01001000,01001111
01001001,01110010
01001010,01101010
01001011,10100101
01001100,11101010
01001101,11110111
01001110,11001111
01001111,11000000
01010000,00010110
01010001,11000011
01010010,00001100
01010011,00001110
01010100,10010011
01010101,01000110
01010110,01101001
01010111,10101011
01011000,11001001
01011001,01111001
01011010,01100111
01011011,10110010
01011100,10101100
01011101,00111100
01011110,11100010
01011111,00110111
01100000,10101001
01100001,01011100
01100010,11011000
01100011,01010111
01100100,11001100
01100101,00011001
01100110,10011101
01100111,11010010
01101000,10100111
01101001,11011010
01101010,10100010
01101011,00001101
01101100,00100010
01101101,10011011
01101110,00100111
01101111,01101000
01110000,10111110
01110001,00101011
01110010,10100100
01110011,11000110
01110100,11111111
01110101,10001110
01110110,11000001
